dataset,n_train,p,best_variant,rel_pls,rel_tabpfn,rmsep
ALPINE_P_291_KS,247,2151,mkR-softmax_cv-default-active15-sparse3,0.91,1.306,0.0567
All_manure_CaO_SPXY_strat_Manure_type,343,1003,MKM-reml-asls-default-active15,0.937,1.255,7.0548
All_manure_K2O_SPXY_strat_Manure_type,343,1003,mkR-softmax_cv-asls-default-active15-sparse1,0.915,0.813,2.1611
All_manure_MgO_SPXY_strat_Manure_type,343,1003,mkR-softmax_cv-default-active15-sparse3,0.944,0.984,0.7388
All_manure_P2O5_SPXY_strat_Manure_type,343,1003,MKM-reml-asls-default-active15,1.032,1.034,2.373
All_manure_Total_N_SPXY_strat_Manure_type,343,1003,MKM-reml-asls-default-active15,0.884,0.975,1.5551
An_spxyG70_30_byCultivar_ASD,78,2101,Ridge-raw,0.951,1.006,3.4407
An_spxyG70_30_byCultivar_MicroNIR,81,125,mkR-softmax_cv-asls-default-active15-sparse1,0.872,0.871,3.2533
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,80,276,mkR-softmax_cv-asls-default-active15-sparse1,0.907,1.052,3.8105
An_spxyG70_30_byCultivar_NeoSpectra,82,257,Ridge-raw,0.888,0.976,4.3764
Beef_Marbling_RandomSplit,554,331,MKM-reml-asls-default-active15,0.953,1.151,70.9475
Beer_OriginalExtract_60_KS,40,576,mkR-softmax_cv-msc-default-active15-sparse3,0.419,1.222,0.1587
Beer_OriginalExtract_60_YbaseSplit,40,576,MKM-reml-asls-default-active15,0.85,1.433,0.2176
Biscuit_Fat_40_RandomSplit,40,700,MKM-reml-asls-default-active15,0.258,0.714,0.321
Biscuit_Sucrose_40_RandomSplit,40,700,mkR-softmax_cv-default-active15-sparse3,0.633,1.058,1.0114
C_woOutlier,1210,1154,mkR-softmax_cv-msc-default-active15-sparse3,0.914,1.898,1.5062
Ccar_spxyG_block2deg,1016,196,Ridge-raw,0.708,1.497,45.5072
Corn_Oil_80_ZhengChenPelegYbaseSplit,64,700,MKM-reml-asls-default-active15,0.884,0.839,0.0207
Corn_Starch_80_ZhengChenPelegYbaseSplit,64,700,mkR-softmax_cv-msc-default-active15-sparse3,1.517,2.0,0.1281
DIESEL_bp50_246_b-a,113,401,mkR-softmax_cv-asls-default-active15-sparse1,0.863,0.656,2.8382
DIESEL_bp50_246_hla-b,133,401,MKM-reml-asls-default-active15,0.924,0.651,2.736
DIESEL_bp50_246_hlb-a,133,401,MKM-reml-asls-default-active15,0.858,0.973,2.8633
Escitalopramt_310_Zhao,207,404,mkR-softmax_cv-msc-default-active15-sparse3,1.073,1.103,0.3622
Firmness_spxy70,28,600,MKM-reml-asls-default-active15,0.583,1.054,0.2712
Fv_Fm_grp70_30,351,2177,mkR-softmax_cv-asls-default-active15-sparse1,0.88,1.087,0.0278
LMA_spxyG70_30_byCultivar_ASD,1092,2101,mkR-softmax_cv-default-active15-sparse3,0.968,0.999,0.3025
LP_spxyG,169,2101,Ridge-raw,0.807,0.802,0.1468
LUCAS_pH_Organic_1763_LiuRandomOrganic,1175,4200,mkR-softmax_cv-msc-default-active15-sparse3,1.002,1.314,0.3288
MP_spxyG,169,2101,Ridge-raw,0.911,0.906,0.0193
Milk_Fat_1224_KS,181,255,mkR-softmax_cv-msc-default-active15-sparse3,0.979,1.031,0.0829
Milk_Lactose_1224_KS,856,255,mkR-softmax_cv-default-active15-sparse3,0.959,1.116,0.0532
Milk_Urea_1224_KS,856,255,mkR-softmax_cv-default-active15-sparse3,0.984,1.043,4.096
NP_spxyG,169,2101,mkR-softmax_cv-default-active15-sparse3,1.048,0.928,0.1074
N_wOutlier,1220,1154,mkR-softmax_cv-msc-default-active15-sparse3,1.017,1.585,0.2779
N_woOutlier,1205,1154,mkR-softmax_cv-msc-default-active15-sparse3,0.937,1.257,0.2231
Pi_spxyG,169,2101,Ridge-raw,0.745,0.799,0.144
Rd25_CBtestSite,324,2151,mkR-softmax_cv-default-active15-sparse3,0.919,0.826,0.2285
Rd25_GTtestSite,297,2151,mkR-softmax_cv-default-active15-sparse3,0.791,0.729,0.2067
Rd25_XSBNtestSite,319,2151,MKM-reml-asls-default-active15,0.796,0.984,0.2515
Rd25_spxy70,329,2151,mkR-softmax_cv-default-active15-sparse3,0.977,1.055,0.1753
Rice_Amylose_313_YbasedSplit,203,1154,MKM-reml-asls-default-active15,1.005,1.173,1.9153
TIC_spxy70,43,254,mkR-softmax_cv-msc-default-active15-sparse3,1.167,1.099,3.2546
V25_spxyG,168,2101,Ridge-raw,0.787,0.819,0.2397
WOOD_Density_402_Olale,216,1038,MKM-reml-asls-default-active15,1.003,1.059,0.1288
WOOD_N_402_Olale,216,1038,mkR-softmax_cv-asls-default-active15-sparse1,0.931,0.998,0.0472
WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,77,276,MKM-reml-asls-default-active15,0.732,0.914,1.3561
brix_groupSampleID_stratDateVar_balRows,1434,2101,MKM-reml-asls-default-active15,0.948,1.208,3.4459
grapevine_chloride_556_KS,388,1023,mkR-softmax_cv-default-active15-sparse3,1.035,1.229,948.04
ph_groupSampleID_stratDateVar_balRows,912,2101,MKM-reml-asls-default-active15,0.95,1.299,0.3003
ta_groupSampleID_stratDateVar_balRows,912,2101,mkR-softmax_cv-default-active15-sparse3,0.954,1.18,1.7978
