v1,v2,median_v1,median_v2,p_raw,p_holm
mkR-softmax_cv-default-active15-sparse3,Ridge-raw,0.9684,1.2265,0.0,0.0
mkR-softmax_cv-asls-default-active15-sparse1,Ridge-raw,0.9777,1.2265,0.0,0.0
MKM-reml-asls-default-active15,Ridge-raw,0.9703,1.2265,0.0,0.0
mkR-softmax_cv-msc-default-active15-sparse3,Ridge-raw,0.9833,1.2265,0.0,0.0
mkR-softmax_cv-default-active15-sparse3,mkR-softmax_cv-msc-default-active15-sparse3,0.9684,0.9833,0.1381,0.8284
mkR-softmax_cv-asls-default-active15-sparse1,MKM-reml-asls-default-active15,0.9777,0.9703,0.1719,0.8596
mkR-softmax_cv-msc-default-active15-sparse3,MKM-reml-asls-default-active15,0.9833,0.9703,0.3673,1.0
mkR-softmax_cv-asls-default-active15-sparse1,mkR-softmax_cv-msc-default-active15-sparse3,0.9777,0.9833,0.5721,1.0
mkR-softmax_cv-asls-default-active15-sparse1,mkR-softmax_cv-default-active15-sparse3,0.9777,0.9684,0.6597,1.0
mkR-softmax_cv-default-active15-sparse3,MKM-reml-asls-default-active15,0.9684,0.9703,0.7594,0.7594
