database_name,dataset,variant,seed,n_train,n_test,n_features,rmsep,r2,n_components,fit_time_s,selected_operators,block_sizes,status,status_details
ALPINE,ALPINE_P_291_KS,PLS-standard-numpy,0,247,44,2151,0.06599822089106648,0.5733434111615305,11,1.271751485997811,,,ok,
ALPINE,ALPINE_P_291_KS,AOM-PLS-compact-numpy,0,247,44,2151,0.060213937507428886,0.6448530781324883,14,2.816456457017921,detrend_d2,,ok,
ALPINE,ALPINE_P_291_KS,lazy-V1-POP-blocks3-holdout,0,247,44,2151,0.09804207345111762,0.058459567391388245,1,0.7515558360028081,mask_1434_2151,,ok,
ALPINE,ALPINE_P_291_KS,lazy-V2-AOM-combined-compact-holdout,0,247,44,2151,0.054137223608314106,0.7129180028100839,13,7.569170987000689,mask_717_1434__sg_d1_w11_p2,,ok,
ALPINE,ALPINE_P_291_KS,moe-view-soft-pls,0,247,44,2151,0.06475022437186001,0.5893266175440179,10,0.20867421996081248,"e0=0.190,e1=0.413,e2=0.397",,ok,
ALPINE,ALPINE_P_291_KS,moe-preproc-soft-pls-compact,0,247,44,2151,0.05861285650419319,0.6634886053733486,10,7.594552505004685,"e4=0.002,e5=0.260,e7=0.333,e8=0.405",,ok,
AMYLOSE,Rice_Amylose_313_YbasedSplit,PLS-standard-numpy,0,203,110,1154,4.346443587658008,0.30978528561438357,7,0.15251508500659838,,,ok,
AMYLOSE,Rice_Amylose_313_YbasedSplit,AOM-PLS-compact-numpy,0,203,110,1154,2.2707582738064915,0.8116099638211829,15,1.3921209479449317,sg_d1_w21_p3,,ok,
AMYLOSE,Rice_Amylose_313_YbasedSplit,lazy-V1-POP-blocks3-holdout,0,203,110,1154,5.32388991465364,-0.035557581168786045,1,0.24941526597831398,mask_0_385,,ok,
AMYLOSE,Rice_Amylose_313_YbasedSplit,lazy-V2-AOM-combined-compact-holdout,0,203,110,1154,1.697674814239286,0.8947007857454119,15,3.7752701290301047,mask_0_385__sg_smooth_w21_p3,,ok,
AMYLOSE,Rice_Amylose_313_YbasedSplit,moe-view-soft-pls,0,203,110,1154,3.5485575700926,0.53993432758598,10,0.10260321199893951,"e0=0.583,e1=0.411,e2=0.006",,ok,
AMYLOSE,Rice_Amylose_313_YbasedSplit,moe-preproc-soft-pls-compact,0,203,110,1154,3.0179090985965336,0.6672420594411399,10,2.4190116910031065,"e2=0.307,e4=0.174,e5=0.021,e6=0.498",,ok,
BEEFMARBLING,Beef_Marbling_RandomSplit,PLS-standard-numpy,0,554,278,331,74.78627113968955,0.4329622281893637,15,0.29300975700607523,,,ok,
BEEFMARBLING,Beef_Marbling_RandomSplit,AOM-PLS-compact-numpy,0,554,278,331,72.7827852830316,0.46293658074263844,15,0.6283929310156964,fd_d1,,ok,
BEEFMARBLING,Beef_Marbling_RandomSplit,lazy-V1-POP-blocks3-holdout,0,554,278,331,99.00689654853106,0.00619969741066051,1,0.309447996027302,mask_0_110,,ok,
BEEFMARBLING,Beef_Marbling_RandomSplit,lazy-V2-AOM-combined-compact-holdout,0,554,278,331,72.7827852830316,0.46293658074263844,15,2.5034635509946384,fd_d1,,ok,
BEEFMARBLING,Beef_Marbling_RandomSplit,moe-view-soft-pls,0,554,278,331,72.2445203666064,0.4708509094199995,10,0.1543237820151262,"e1=0.642,e2=0.358",,ok,
BEEFMARBLING,Beef_Marbling_RandomSplit,moe-preproc-soft-pls-compact,0,554,278,331,72.83222855266392,0.46220665014655193,10,2.32251297601033,"e5=0.332,e7=0.476,e8=0.192",,ok,
BEER,Beer_OriginalExtract_60_KS,PLS-standard-numpy,0,40,20,576,0.5043364793748296,0.900602038198049,11,0.09106054500443861,,,ok,
BEER,Beer_OriginalExtract_60_KS,AOM-PLS-compact-numpy,0,40,20,576,0.42509087800110684,0.9293844598643398,15,0.7305487769772299,detrend_d1,,ok,
BEER,Beer_OriginalExtract_60_KS,lazy-V1-POP-blocks3-holdout,0,40,20,576,1.0051059612107536,0.6052152103274977,2,0.16749114100821316,"identity,mask_384_576",,ok,
BEER,Beer_OriginalExtract_60_KS,lazy-V2-AOM-combined-compact-holdout,0,40,20,576,0.17785255709199338,0.9876389050735913,11,2.288529309036676,mask_0_192__detrend_d1,,ok,
BEER,Beer_OriginalExtract_60_KS,moe-view-soft-pls,0,40,20,576,0.2311667900593471,0.9791172543307721,10,0.049906146014109254,"e0=0.987,e2=0.013",,ok,
BEER,Beer_OriginalExtract_60_KS,moe-preproc-soft-pls-compact,0,40,20,576,0.24169884335961966,0.9771710541240195,10,1.4995099079678766,"e2=0.183,e6=0.817",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,PLS-standard-numpy,0,40,20,576,0.3942938315312436,0.973899601429417,6,0.05108843499328941,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,AOM-PLS-compact-numpy,0,40,20,576,0.9473565532735878,0.8493274629900657,1,0.6442079360131174,sg_smooth_w11_p2,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,lazy-V1-POP-blocks3-holdout,0,40,20,576,0.626395253154164,0.9341275085861493,12,0.1420949210296385,"identity,mask_0_192,mask_192_384,mask_384_576",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,lazy-V2-AOM-combined-compact-holdout,0,40,20,576,0.6225232670159023,0.934939357236938,1,2.3581547510111704,mask_0_192,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-view-soft-pls,0,40,20,576,0.2187987810176508,0.9919629444545481,10,0.08828582096612081,e0=1.000,,ok,
