dataset,meta_logreg_variant,meta_rf_variant,meta_logreg_rmsep,meta_rf_rmsep,oracle_rmsep,oracle_variant,moe-preproc-soft-pls-compact,moe-view-soft-pls,moe-view-soft-K5,lazy-V2-AOM-combined-compact-holdout,lazy-V1-POP-blocks3-holdout,AOM-PLS-compact-numpy,tabpfn_opt,pls_standard,ridge_ref
ALPINE_P_291_KS,moe-preproc-soft-pls-compact,moe-preproc-soft-pls-compact,0.0586128565041931,0.0586128565041931,0.0541372236083141,lazy-V2-AOM-combined-compact-holdout,0.0586128565041931,0.06475022437186,0.0611357016817429,0.0541372236083141,0.0980420734511176,0.0602139375074288,0.0434172262265824,0.0622707496529526,0.0589773153713793
All_manure_CaO_SPXY_strat_Manure_type,moe-view-soft-K5,moe-view-soft-K5,7.623860182324915,7.623860182324915,7.448128773948542,moe-view-soft-pls,8.214593728142574,7.448128773948542,7.623860182324915,7.941520241001558,13.448689410243151,7.72034597558796,5.621742848992302,7.528544191989094,6.898422615369386
All_manure_K2O_SPXY_strat_Manure_type,moe-view-soft-pls,moe-view-soft-pls,2.4633623068182846,2.4633623068182846,2.357721685558252,moe-view-soft-K5,2.648886766491044,2.4633623068182846,2.357721685558252,2.6085397917966677,3.621497818709928,2.6085397917966677,2.658345589992729,2.36091887824198,2.341854235430136
All_manure_MgO_SPXY_strat_Manure_type,moe-view-soft-pls,moe-view-soft-K5,0.8602508323305482,0.8535281243839179,0.7946789148284525,lazy-V2-AOM-combined-compact-holdout,0.8185193015899042,0.8602508323305482,0.8535281243839179,0.7946789148284525,1.9471081010078253,0.7946789148284525,0.7508986236686556,0.7826806868853714,0.7736696013360851
All_manure_P2O5_SPXY_strat_Manure_type,moe-view-soft-pls,moe-view-soft-pls,2.4800495568783125,2.4800495568783125,2.473030342523828,moe-preproc-soft-pls-compact,2.473030342523828,2.4800495568783125,2.540154634073291,2.7062747301994072,6.112649099450225,2.7062747301994072,2.2951036862227383,2.3003293127604723,2.54687928995717
All_manure_Total_N_SPXY_strat_Manure_type,moe-view-soft-K5,moe-view-soft-K5,1.558847633344927,1.558847633344927,1.5499560841855566,moe-view-soft-pls,1.6679788161286708,1.5499560841855566,1.558847633344927,1.7382391162369526,4.9173930580376695,1.7313050242229395,1.5941884695680253,1.7584969529696053,1.7064692893113451
An_spxyG70_30_byCultivar_ASD,AOM-PLS-compact-numpy,AOM-PLS-compact-numpy,3.904052294157028,3.904052294157028,3.181599143465655,moe-view-soft-K5,3.935489433818235,3.3046955672322977,3.181599143465655,3.904052294157028,3.552734030102092,3.904052294157028,3.4195867941291915,3.6181784712144247,4.146281677356247
An_spxyG70_30_byCultivar_MicroNIR,moe-view-soft-pls,moe-view-soft-K5,4.051578968962833,3.980229928940852,3.6907866055943135,lazy-V2-AOM-combined-compact-holdout,3.696221500437963,4.051578968962833,3.980229928940852,3.6907866055943135,4.07718216266314,3.6907866055943135,3.734769944542737,3.7318902219042944,3.647020583392548
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,moe-view-soft-pls,lazy-V2-AOM-combined-compact-holdout,4.2010401894348375,4.363068437923144,3.959320212694703,moe-preproc-soft-pls-compact,3.959320212694703,4.2010401894348375,4.063534371405413,4.363068437923144,4.215894567412895,3.968067027375122,3.6237328654559775,4.202132209872175,4.127200381549012
An_spxyG70_30_byCultivar_NeoSpectra,AOM-PLS-compact-numpy,lazy-V2-AOM-combined-compact-holdout,5.117988787348381,4.548030258273708,4.23857789050102,moe-view-soft-K5,4.709763066083456,4.252974290764836,4.23857789050102,4.548030258273708,4.365914488953145,5.117988787348381,4.484544769962023,4.927187099416517,4.802865456056688
