database_name,dataset,variant,seed,n_train,n_test,n_features,rmsep,r2,n_components,fit_time_s,selected_operators,block_sizes,status,status_details
ALPINE,ALPINE_P_291_KS,PLS-standard-numpy,0,247,44,2151,0.06599822089106648,0.5733434111615305,11,1.8253749290015548,,,ok,
ALPINE,ALPINE_P_291_KS,AOM-PLS-compact-numpy,0,247,44,2151,0.060213937507428886,0.6448530781324883,14,4.468025638023391,detrend_d2,,ok,
ALPINE,ALPINE_P_291_KS,MBPLS-blocks3-vanilla,0,247,44,2151,0.06435254287258127,0.5943556557912524,12,0.8137735729687847,,"717,717,717",ok,
ALPINE,ALPINE_P_291_KS,lazy-V1-POP-blocks3-holdout,0,247,44,2151,0.09804207345111762,0.058459567391388245,1,1.096935237001162,mask_1434_2151,,ok,
ALPINE,ALPINE_P_291_KS,lazy-V2-AOM-combined-compact-holdout,0,247,44,2151,0.054137223608314106,0.7129180028100839,13,10.048363898997195,mask_717_1434__sg_d1_w11_p2,,ok,
ALPINE,ALPINE_P_291_KS,block-sparse-V1-blocks3-holdout,0,247,44,2151,0.0734074480569615,0.4721697781883816,15,3.223686308017932,"k1_op1,k0_op0,k1_op1,k2_op2,k2_op2,k1_op1,k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k1_op1,k0_op0,k0_op0",,ok,
ALPINE,ALPINE_P_291_KS,moe-view-soft-pls,0,247,44,2151,0.06475022437186001,0.5893266175440179,10,0.16564317897427827,"e0=0.190,e1=0.413,e2=0.397",,ok,
ALPINE,ALPINE_P_291_KS,moe-preproc-soft-pls-compact,0,247,44,2151,0.05861285650419319,0.6634886053733486,10,11.757648156955838,"e4=0.002,e5=0.260,e7=0.333,e8=0.405",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,PLS-standard-numpy,0,40,20,576,0.3942938315312436,0.973899601429417,6,0.0357853039749898,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,AOM-PLS-compact-numpy,0,40,20,576,0.9473565532735878,0.8493274629900657,1,0.4789395810221322,sg_smooth_w11_p2,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,MBPLS-blocks3-vanilla,0,40,20,576,0.6750532461614244,0.9234961601476724,6,0.14208916504867375,,"192,192,192",ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,lazy-V1-POP-blocks3-holdout,0,40,20,576,0.626395253154164,0.9341275085861493,12,0.20666380802867934,"identity,mask_0_192,mask_192_384,mask_384_576",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,lazy-V2-AOM-combined-compact-holdout,0,40,20,576,0.6225232670159023,0.934939357236938,1,2.8282480540219694,mask_0_192,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,block-sparse-V1-blocks3-holdout,0,40,20,576,0.15708104925874164,0.995857573982748,15,0.18964650703128427,"k0_op0,k0_op0,k0_op0,k1_op1,k1_op1,k2_op2,k0_op0,k1_op1,k1_op1,k1_op1,k0_op0,k1_op1,k1_op1,k1_op1,k1_op1",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-view-soft-pls,0,40,20,576,0.2187987810176508,0.9919629444545481,10,0.06832645699614659,e0=1.000,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-preproc-soft-pls-compact,0,40,20,576,0.25812747230031363,0.9888139789862842,10,1.6147430039709434,"e2=0.060,e6=0.940",,ok,
COLZA,N_woOutlier,PLS-standard-numpy,0,1205,1207,1154,0.33924911591865775,0.9466216062244716,15,11.664315624977462,,,ok,
COLZA,N_woOutlier,AOM-PLS-compact-numpy,0,1205,1207,1154,0.3417090507763308,0.9458446937561144,13,10.894223811978009,sg_d1_w21_p3,,ok,
COLZA,N_woOutlier,MBPLS-blocks3-vanilla,0,1205,1207,1154,0.3349603472283514,0.9479626887995933,15,3.789627305988688,,"385,384,385",ok,
COLZA,N_woOutlier,lazy-V1-POP-blocks3-holdout,0,1205,1207,1154,1.362874834449811,0.1385303200978769,2,18.56626710499404,"mask_0_385,mask_385_769",,ok,
COLZA,N_woOutlier,lazy-V2-AOM-combined-compact-holdout,0,1205,1207,1154,0.3417090507763308,0.9458446937561144,13,46.78148991399212,sg_d1_w21_p3,,ok,
COLZA,N_woOutlier,block-sparse-V1-blocks3-holdout,0,1205,1207,1154,0.3555302562352483,0.9413752257003598,15,32.10832818999188,"k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k2_op2",,ok,
COLZA,N_woOutlier,moe-view-soft-pls,0,1205,1207,1154,0.3724925632409526,0.9356478197858983,10,2.6657860120176338,"e0=0.014,e1=0.250,e2=0.736",,ok,
COLZA,N_woOutlier,moe-preproc-soft-pls-compact,0,1205,1207,1154,0.3188878418395437,0.9528367228324766,10,25.694614789972547,"e0=0.117,e3=0.080,e4=0.181,e5=0.369,e6=0.091,e7=0.075,e8=0.087",,ok,
