database_name,dataset,variant,seed,n_train,n_test,n_features,rmsep,r2,n_components,fit_time_s,selected_operators,block_sizes,status,status_details
BEER,Beer_OriginalExtract_60_YbaseSplit,PLS-standard-numpy,0,40,20,576,0.3942938315312436,0.973899601429417,6,0.017467947967816144,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,AOM-PLS-compact-numpy,0,40,20,576,0.9473565532735878,0.8493274629900657,1,0.1540916779777035,sg_smooth_w11_p2,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,MBPLS-blocks3-vanilla,0,40,20,576,0.6750532461614244,0.9234961601476724,6,0.03454699297435582,,"192,192,192",ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,PLS-standard-numpy,0,2925,3925,196,49.058682501874756,-14.211033556718059,10,0.44041543605271727,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,AOM-PLS-compact-numpy,0,2925,3925,196,46.381550067680614,-12.59619798522471,13,0.4416726779891178,sg_smooth_w21_p3,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,MBPLS-blocks3-vanilla,0,2925,3925,196,48.697913514633036,-13.988137579420659,10,0.25512877700384706,,"65,66,65",ok,
GRAPEVINES,grapevine_chloride_556_KS,PLS-standard-numpy,0,388,167,1023,1168.0573377036449,0.38944342772459495,12,0.1426213570521213,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,AOM-PLS-compact-numpy,0,388,167,1023,977.5131269359118,0.5723949919450751,15,0.6215163830202073,sg_smooth_w21_p3,,ok,
GRAPEVINES,grapevine_chloride_556_KS,MBPLS-blocks3-vanilla,0,388,167,1023,1064.7246585238956,0.49269141588450793,14,0.13638597598765045,,"341,341,341",ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,PLS-standard-numpy,0,343,147,1003,0.841335729948319,0.8730664444987445,13,0.11727922596037388,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,AOM-PLS-compact-numpy,0,343,147,1003,0.7946789148284525,0.8867544463678159,14,0.5104036760167219,identity,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,MBPLS-blocks3-vanilla,0,343,147,1003,0.8601528168834598,0.8673250260480849,9,0.13584590901155025,,"334,335,334",ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,lazy-V1-POP-blocks3-holdout,0,40,20,576,0.626395253154164,0.9341275085861493,12,0.19476567796664312,"identity,mask_0_192,mask_192_384,mask_384_576",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,lazy-V1-POP-blocks3-cvspxy,0,40,20,576,1.7593575372240289,0.48034467085592125,2,0.6725114259752445,"mask_192_384,mask_384_576",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,lazy-V2-POP-combined-compact-holdout,0,40,20,576,1.1272137694083475,0.7866858111303573,15,14.767513506987598,"mask_0_192__sg_d1_w11_p2,mask_192_384__detrend_d1,mask_192_384__fd_d1,mask_192_384__sg_d2_w11_p2,mask_192_384__sg_smooth_w21_p3,mask_384_576__sg_d1_w11_p2,mask_384_576__sg_d1_w21_p3,mask_384_576__sg_d2_w11_p2,mask_384_576__sg_smooth_w21_p3,sg_smooth_w11_p2",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,lazy-V2-AOM-combined-compact-holdout,0,40,20,576,0.6225232670159023,0.934939357236938,1,0.9428842880297452,mask_0_192,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,lazy-V2-POP-combined-compact-cvspxy,0,40,20,576,2.5817845563500263,-0.11904402021793459,1,45.40652872098144,fd_d1,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,lazy-V1-POP-blocks3-holdout,0,2925,3925,196,27.68803688062616,-3.845195356632524,1,1.4695689770160243,mask_0_65,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,lazy-V2-POP-combined-compact-holdout,0,2925,3925,196,27.04513605651327,-3.6228021224673537,1,9.176081843965221,mask_0_65__sg_smooth_w21_p3,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,lazy-V2-AOM-combined-compact-holdout,0,2925,3925,196,46.381550067680614,-12.59619798522471,13,2.431871455977671,sg_smooth_w21_p3,,ok,
GRAPEVINES,grapevine_chloride_556_KS,lazy-V1-POP-blocks3-holdout,0,388,167,1023,1503.8546921404459,-0.012067169349096796,1,0.32785378402331844,mask_341_682,,ok,
GRAPEVINES,grapevine_chloride_556_KS,lazy-V2-POP-combined-compact-holdout,0,388,167,1023,1504.0032511744305,-0.012267134343157293,1,43.98154018400237,mask_341_682__sg_smooth_w21_p3,,ok,
GRAPEVINES,grapevine_chloride_556_KS,lazy-V2-AOM-combined-compact-holdout,0,388,167,1023,1022.4440167609546,0.5321822862354821,6,6.085370139044244,mask_682_1023__detrend_d2,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,lazy-V1-POP-blocks3-holdout,0,343,147,1003,1.9471081010078253,0.32014247872055235,2,0.6429408899857663,mask_0_334,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,lazy-V2-POP-combined-compact-holdout,0,343,147,1003,1.9869147230420565,0.2920603529814294,1,91.50785949698184,mask_0_334__detrend_d1,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,lazy-V2-AOM-combined-compact-holdout,0,343,147,1003,0.7946789148284525,0.8867544463678159,14,7.397419237997383,identity,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,block-sparse-V1-blocks3-holdout,0,40,20,576,0.15708104925874164,0.995857573982748,15,0.1686837820452638,"k0_op0,k0_op0,k0_op0,k1_op1,k1_op1,k2_op2,k0_op0,k1_op1,k1_op1,k1_op1,k0_op0,k1_op1,k1_op1,k1_op1,k1_op1",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,block-sparse-V2-combined-compact-holdout,0,40,20,576,0.17403157691235033,0.9949153240017679,15,14.3611047489685,"k0_op8,k0_op5,k2_op2,k0_op0,k1_op12,k1_op17,k2_op22,k0_op4,k0_op9,k1_op18,k1_op15,k0_op7,k1_op15,k0_op7,k2_op26",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,block-sparse-V1-blocks3-cvspxy,0,40,20,576,0.17459004020604177,0.9948826384274724,3,1.0854436840163544,"k0_op0,k0_op0,k0_op0",,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,block-sparse-V1-blocks3-holdout,0,2925,3925,196,36.66954503131001,-7.498416388733544,14,3.8132332370150834,"k2_op2,k2_op2,k2_op2,k2_op2,k0_op0,k1_op1,k0_op0,k0_op0,k2_op2,k1_op1,k1_op1,k1_op1,k1_op1,k1_op1",,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,block-sparse-V2-combined-compact-holdout,0,2925,3925,196,44.25574580043082,-11.378450679584446,11,18.233830262965057,"k2_op22,k2_op23,k2_op21,k2_op23,k1_op18,k0_op0,k1_op18,k2_op2,k0_op10,k0_op9,k1_op14",,ok,
GRAPEVINES,grapevine_chloride_556_KS,block-sparse-V1-blocks3-holdout,0,388,167,1023,1060.0189571159622,0.4971657507669195,15,1.5291886060149409,"k0_op0,k2_op2,k1_op1,k0_op0,k0_op0,k0_op0,k1_op1,k1_op1,k1_op1,k2_op2,k1_op1,k1_op1,k1_op1,k2_op2,k2_op2",,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,block-sparse-V1-blocks3-holdout,0,343,147,1003,1.0245020573645252,0.811781005541695,14,0.7684693969786167,"k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k2_op2,k0_op0,k0_op0,k0_op0,k0_op0,k0_op0,k0_op0,k1_op1,k1_op1",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-view-hard-pls,0,40,20,576,0.2187987810176508,0.9919629444545481,10,0.058805648994166404,e0=1.000,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-view-soft-pls,0,40,20,576,0.2187987810176508,0.9919629444545481,10,0.08942559902789071,e0=1.000,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-preproc-hard-pls-compact,0,40,20,576,0.2526447138075934,0.9892841258353463,10,1.7896078660269268,e6=1.000,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-preproc-soft-pls-compact,0,40,20,576,0.25812747230031363,0.9888139789862842,10,1.9751309769926593,"e2=0.060,e6=0.940",,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,moe-view-hard-pls,0,2925,3925,196,45.374259612660005,-12.012060262311786,10,0.3793187250266783,e2=1.000,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,moe-view-soft-pls,0,2925,3925,196,43.960128188153874,-11.213632919050205,10,0.3981850590207614,"e0=0.450,e2=0.550",,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,moe-preproc-hard-pls-compact,0,2925,3925,196,47.43619617121752,-13.221541587503305,10,8.566719629976433,e8=1.000,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,moe-preproc-soft-pls-compact,0,2925,3925,196,43.941097410503765,-11.203060401168164,10,8.51756603398826,"e0=0.002,e2=0.108,e3=0.149,e4=0.042,e5=0.217,e8=0.481",,ok,
GRAPEVINES,grapevine_chloride_556_KS,moe-view-hard-pls,0,388,167,1023,975.0922341104681,0.5745103682106389,10,0.13942636200226843,e1=1.000,,ok,
GRAPEVINES,grapevine_chloride_556_KS,moe-view-soft-pls,0,388,167,1023,979.9396325730615,0.570269447547005,10,0.0861072390107438,"e0=0.126,e1=0.676,e2=0.198",,ok,
GRAPEVINES,grapevine_chloride_556_KS,moe-preproc-hard-pls-compact,0,388,167,1023,994.2399294738755,0.5576357844199619,10,3.565365673042834,e6=1.000,,ok,
GRAPEVINES,grapevine_chloride_556_KS,moe-preproc-soft-pls-compact,0,388,167,1023,939.3362017722678,0.6051431222877892,10,2.8651358999777585,"e2=0.225,e3=0.141,e4=0.093,e5=0.090,e6=0.346,e8=0.106",,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,moe-view-hard-pls,0,343,147,1003,0.8975542526798248,0.8555361458794294,10,0.07111079402966425,e2=1.000,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,moe-view-soft-pls,0,343,147,1003,0.8602508323305482,0.8672947873798947,10,0.09200455999234691,"e1=0.192,e2=0.808",,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,moe-preproc-hard-pls-compact,0,343,147,1003,0.8375680511515252,0.8742007693776348,10,2.5547724370262586,e6=1.000,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,moe-preproc-soft-pls-compact,0,343,147,1003,0.8185193015899042,0.8798577864810376,10,2.2407445770222694,"e2=0.204,e5=0.066,e6=0.690,e7=0.040",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,stack-ridge-4base,0,40,20,576,0.19716199904714715,0.9934739018768104,-1,12.261684431985486,"aom_pls:-0.038,block_sparse_v1:+0.521,moe_preproc_soft:+0.578,lazy_v1_pop:-0.053",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,stack-nnls-4base,0,40,20,576,0.16401236693588134,0.9954839331095967,-1,11.366616035986226,"aom_pls:0.000,block_sparse_v1:0.821,moe_preproc_soft:0.180,lazy_v1_pop:0.000",,ok,
