variant,n,median,wins,fit_med,fit_total
ASLS-AOM-compact-cv5-numpy,57,0.9600255711733849,42,1.3597295009967638,267.89116379697225
SPXY-AOM-response-dedup-cv3-numpy,54,0.9616641615876309,35,29.160516625532182,3175.9686747162486
ASLS-AOM-response-dedup-cv3-numpy,57,0.963777344497604,37,4.567066038012854,769.3346975959867
ASLS-AOM-family-pruned-cv3-numpy,57,0.963846795400184,38,1.602200567998807,271.97886934303096
SPXY-AOM-family-pruned-cv3-numpy,54,0.9658958037186516,36,5.104672615998425,841.2497049840167
HPO-AOM-response-dedup-numpy,54,0.9671394834463152,34,312.91606570399017,25661.489801449614
ASLS-AOM-compact-repcv3-numpy,57,0.9753049210808383,39,2.2107652070117183,400.6518218700512
ASLS-AOM-compact-cv3-numpy,57,0.9785064609059064,38,0.9121292299969356,150.06237561597663
HPO-AOM-family-pruned-numpy,54,0.9803231886471133,32,59.443144721444696,5119.569086592353
SNV-ASLS-AOM-compact-repcv3-numpy,57,0.9807365542444935,33,2.326203709002584,433.04101786299725
AOM-compact-repcv3-numpy,57,0.9835673980808195,39,2.076691481997841,375.1696536369709
SNV-AOM-compact-numpy,57,0.984381274403443,32,0.4199872739991406,72.68473569498747
SNV-AOM-compact-repcv3-numpy,57,0.984381274403443,34,2.1610205229953863,394.4983048930153
SNV-AOM-compact-cv3-numpy,57,0.9851169954975546,31,0.795465682997019,136.06448603597528
SPXY-AOM-compact-cv5-numpy,54,0.9864663117232317,31,4.005690744030289,532.6057163540972
AOM-response-dedup-cv3-numpy,57,0.9880926745211311,33,4.2747956480016,737.1117648630025
AOM-compact-cv5-numpy,57,0.9916830379000464,38,1.231448343998636,232.23033073698753
HPO-AOM-compact-numpy,54,0.9938676445976873,30,31.34739881454152,2708.855908467056
ASLS-AOM-compact-repcv3-oneSE-numpy,57,0.9939013496591881,30,2.2351873599982355,397.8872529799555
pipeline-x-asls-x-compact,57,0.9940560823344378,31,0.4391566889971727,77.65067297396308
AOM-compact-cv3-numpy,57,0.9971310805842518,32,0.9562241019957582,181.92040086099587
AOM-response-dedup-numpy,57,0.9978676541983011,29,1.967372021987103,358.3915288539574
AOM-family-pruned-numpy,57,0.9978676541983011,30,0.577147657997557,97.04964566491253
MSC-AOM-default-numpy,57,0.9989087768294365,29,8.084795341994322,1024.6605594069988
AOM-compact-simpls-covariance-numpy,57,0.9992983682904264,30,0.2470860500034177,48.25146373799362
nirs4all-AOM-PLS-default,57,0.9993947494022765,29,0.9641777590004494,357.74846664204233
AOM-default-nipals-adjoint-numpy,57,0.9993947494022783,29,8.443864234002831,1096.32794839501
AOM-default-oneSEcv3-numpy,57,1.0,28,15.365294818009716,1993.438132812953
AOM-family-pruned-cv3-numpy,57,1.0000000000000004,28,1.4838614579930436,243.56329485597962
AOM-explorer-simpls-numpy,57,1.0000000000000238,24,0.7236881770004402,209.09233703499922
Superblock-raw-simpls-numpy,57,1.0008060488577226,27,0.2691600530015421,33.134502671979135
ActiveSuperblock-deep3-numpy,57,1.0016928054225454,28,1.4140992519969586,259.5320840270142
AOM-compact-oneSEcv3-numpy,57,1.0018131766496368,26,0.7692318360059289,128.78373010101495
AOM-compact-cv5-oneSE-numpy,57,1.0028299474207376,26,1.3062500259984515,233.77740489805
AOM-compact-repcv3-oneSE-numpy,57,1.0028299474207376,25,2.1653367090038955,372.14997189199494
SNV-AOM-default-numpy,57,1.0033081372166641,27,8.349455730000045,1033.0754272919512
AOM-default-simpls-covariance-numpy,57,1.0035513409355912,28,5.316699707000225,782.775530543986
ActiveSuperblock-simpls-numpy,57,1.003956135355946,28,1.6729482089940575,253.0291878009739
pipeline-msc-asls-x-compact,57,1.0055183399794205,27,0.6000751649989979,110.6721159619774
