database_name,n_tasks,identity_balanced_accuracy,aom_balanced_accuracy,delta_balanced_accuracy
ARABIDOPSIS_CEFE,3,0.4472222222222222,0.45370370370370355,0.0
BEEF_Impurity,1,0.9333333333333332,0.911111111111111,-0.022222222222222216
COFFEE_orig,1,0.9523809523809524,0.9523809523809524,0.0
COFFEE_sp,1,1.0,1.0,0.0
Cassava,1,0.5,0.4611111111111111,-0.03888888888888894
FruitPuree,1,0.9547783039173484,0.9591261300043049,0.004347826086956386
MALARIA,2,0.5598447560096452,0.5291843786511548,-0.030660377358490552
MILK,1,0.8444444444444446,0.8419753086419753,-0.0024691358024691765
PISTACIA,1,0.6103537442949207,0.6245885291179409,0.014234784823020208
Wood_Sustainability,2,0.6771950946287124,0.7026808340051994,0.025485739376486932
