status,task,seed,cv,n_train,n_test,n_features,stacking_test_rmse,raw_ridge_test_rmse,selected_base_alpha_json,base_cv_rmse_json,selected_meta_alpha,meta_cv_rmse,operator_names_json,fit_time_s,wall_s,folded_test_rmse
ok,ALPINE_P_291_KS,0,5,247,44,2151,0.05957218657939998,0.059571655706200745,"[0.008191078762380611, 0.00466061407910827, 0.00466061407910827, 2.9131410305129194e-05, 1.65753821872548e-05, 1.65753821872548e-05, 0.008191078762380611, 0.008191078762380611, 8.998237017735634e-05]","[0.0763739827655681, 0.07712348673526301, 0.07724686401084363, 0.07749665558990648, 0.07686291631940545, 0.10683935067428034, 0.07578487012459201, 0.07621535178675667, 0.08618207188955164]",0.8136956896569653,0.07659293256130316,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",1.4165590330012492,1.5344877269999415,0.0602000388570821
ok,ALPINE_P_291_KS,1,5,247,44,2151,0.06004833016010955,0.059571655706200745,"[0.008191078762380611, 0.00466061407910827, 0.00466061407910827, 2.9131410305129194e-05, 1.65753821872548e-05, 1.65753821872548e-05, 0.008191078762380611, 0.00466061407910827, 8.998237017735634e-05]","[0.07556753243307797, 0.07696538625318919, 0.07764183006470757, 0.07719090898220637, 0.07609124982172488, 0.10703493923876513, 0.0752352824351172, 0.0757190504684249, 0.0839845277406012]",0.7996629398040036,0.07631134528014741,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",1.4106056470009207,1.498591748997569,0.0602000388570821
ok,ALPINE_P_291_KS,2,5,247,44,2151,0.05936571288000855,0.06031115443708265,"[0.00466061407910827, 0.00466061407910827, 0.0015088540204571189, 1.65753821872548e-05, 1.65753821872548e-05, 1.65753821872548e-05, 0.00466061407910827, 0.00466061407910827, 8.998237017735634e-05]","[0.07712924326248521, 0.07912205822794466, 0.0788381533344571, 0.07818031880579882, 0.07780105464906645, 0.11013134290483033, 0.07650416537360069, 0.07653461801279836, 0.08437527733345382]",1.4372782321916615,0.07899873591986425,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",1.3627764070006378,1.4521729449988925,0.0607657777161539
ok,An_spxyG70_30_byCultivar_ASD,0,5,78,34,2101,3.5494276163686784,3.7384267472739374,"[0.19310147496220903, 0.19310147496220903, 0.19310147496220903, 7.19803845452684e-05, 7.19803845452684e-05, 4.2926389961161085e-06, 0.10987215225407997, 0.10987215225407997, 0.0001265062906194427]","[3.145578800677224, 3.1458281181582604, 3.146067427764427, 3.169832682709674, 3.1692387708712078, 3.1503882740341447, 3.321299984313785, 3.330187711353646, 3.137114503105241]",69.07119423001026,3.2310290602896865,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.5726580139998987,0.648174090001703,3.603434063975252
ok,An_spxyG70_30_byCultivar_ASD,1,5,78,34,2101,3.4638507044588573,3.9572075299686404,"[0.006552361290268685, 0.006552361290268685, 0.006552361290268685, 2.330334388809935e-05, 4.09558744779796e-05, 4.2926389961161085e-06, 0.00212129914824467, 0.00212129914824467, 4.09558744779796e-05]","[3.1622255145277074, 3.1621446836118725, 3.1620851461567367, 3.2262563821494132, 3.2235994096784566, 3.1793296220829146, 3.3539361598630806, 3.357807727297606, 3.1779548168024867]",373.834141071622,3.2582035938306797,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.6105282370008354,0.677710826999828,3.9553924079644704
ok,An_spxyG70_30_byCultivar_ASD,2,5,78,34,2101,3.6632383039746927,3.928009619938554,"[0.011515844585534464, 0.011515844585534464, 0.006552361290268685, 1.3259290475142755e-05, 1.3259290475142755e-05, 4.2926389961161085e-06, 0.19310147496220903, 0.10987215225407997, 2.330334388809935e-05]","[3.1391285934409257, 3.138814183179863, 3.1384211899593164, 3.121643507018189, 3.117696274603136, 3.155816614707848, 3.3817155117807167, 3.4061822063630984, 3.085426581247333]",17.158986519833338,3.0512213366479335,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.5828640619984071,0.6325370279992057,3.699251123173488
ok,An_spxyG70_30_byCultivar_MicroNIR,0,5,81,35,125,3.7906626684977045,3.548538492444068,"[0.0001113907887662313, 6.337986649465327e-05, 6.337986649465327e-05, 2.15061942889477e-06, 2.15061942889477e-06, 1.2825484171278292e-07, 6.337986649465327e-05, 6.337986649465327e-05, 0.01782095246914516]","[3.6185993464479536, 3.5989416539830343, 3.5641510273489048, 3.615202836603097, 3.6093496086864603, 3.6954583005115906, 3.492331883085863, 3.490205014038439, 3.709272545800875]",1418.8638361044552,3.6497025077696037,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.049965909998718416,0.07888959399861051,3.3565258209002446
ok,An_spxyG70_30_byCultivar_MicroNIR,1,5,81,35,125,3.728558620183635,4.0136049141418075,"[6.962539091805539e-07, 1.2825484171278292e-07, 6.337986649465327e-05, 2.15061942889477e-06, 3.779736496301698e-06, 1.2825484171278292e-07, 1.2236736429815074e-06, 1.2236736429815074e-06, 2.15061942889477e-06]","[3.4064457708065348, 3.418839158429745, 3.6429264854464933, 3.5992152305787855, 3.6011255018563197, 3.588931454826181, 3.4203635631017675, 3.4057788414002403, 3.5609831405331547]",137.0358161792242,3.1937069148085135,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.08777294599713059,0.10382768199997372,3.8847736117404943
ok,An_spxyG70_30_byCultivar_MicroNIR,2,5,81,35,125,3.6342738474978997,3.548538492444068,"[0.0001113907887662313, 0.0001113907887662313, 6.337986649465327e-05, 2.15061942889477e-06, 2.15061942889477e-06, 1.2825484171278292e-07, 0.0001113907887662313, 0.0001113907887662313, 2.15061942889477e-06]","[3.438047030991254, 3.426565589056781, 3.3952393621904946, 3.4577532527204844, 3.449907069545751, 3.5430609826857635, 3.3876142709107, 3.3734828511956456, 3.4733258275169305]",486.00283523996904,3.484846042062211,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.041729255997779546,0.048327918000723,3.3798035121495964
ok,An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,0,5,80,35,276,3.7268058219011904,4.025484200426618,"[3.2300378316780896e-05, 9.977081672758868e-05, 0.00017534827044917722, 3.3854450751983264e-06, 3.3854450751983264e-06, 3.5483294482746616e-07, 1.8378482530909068e-05, 3.2300378316780896e-05, 5.949955689523392e-06]","[3.3263546712806416, 3.414862696527495, 3.484207865789233, 3.3086995395372147, 3.305249370709364, 3.238027871075468, 3.2474943350393692, 3.2675999213145603, 3.203425486268011]",151.81031768609662,3.267660895088089,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.0675940589972015,0.10134574500261806,3.786054493562058
