task,model,mode,repeat,time_s,selected_operator,selected_hyperparameter
Beer_OriginalExtract_60_KS,PLS,folded,1,0.5481253280013334,sg_smooth_w21_p3,4
Beer_OriginalExtract_60_KS,PLS,folded,2,0.5685161239998706,sg_smooth_w21_p3,4
Beer_OriginalExtract_60_KS,PLS,folded,3,0.5663234659987211,sg_smooth_w21_p3,4
Beer_OriginalExtract_60_KS,PLS,materialized,1,0.31713771100112353,sg_smooth_w21_p3,4
Beer_OriginalExtract_60_KS,PLS,materialized,2,0.3163577949999308,sg_smooth_w21_p3,4
Beer_OriginalExtract_60_KS,PLS,materialized,3,0.3226292729996203,sg_smooth_w21_p3,4
Beer_OriginalExtract_60_KS,Ridge,folded,1,0.5702945450011612,sg_smooth_w21_p3,0.0030821800019722773
Beer_OriginalExtract_60_KS,Ridge,folded,2,0.5919278460005444,sg_smooth_w21_p3,0.0030821800019722773
Beer_OriginalExtract_60_KS,Ridge,folded,3,0.5698759590013651,sg_smooth_w21_p3,0.0030821800019722773
Beer_OriginalExtract_60_KS,Ridge,materialized,1,0.0688903689988365,sg_smooth_w21_p3,0.0030821800019722773
Beer_OriginalExtract_60_KS,Ridge,materialized,2,0.06538241499947617,sg_smooth_w21_p3,0.0030821800019722773
Beer_OriginalExtract_60_KS,Ridge,materialized,3,0.06841655000062019,sg_smooth_w21_p3,0.0030821800019722773
Corn_Oil_80_ZhengChenPelegYbaseSplit,PLS,folded,1,0.7238021659995866,sg_d1_w21_p3,15
Corn_Oil_80_ZhengChenPelegYbaseSplit,PLS,folded,2,0.7131425469997339,sg_d1_w21_p3,15
Corn_Oil_80_ZhengChenPelegYbaseSplit,PLS,folded,3,0.7090018719991349,sg_d1_w21_p3,15
Corn_Oil_80_ZhengChenPelegYbaseSplit,PLS,materialized,1,0.4205438299995876,sg_d1_w21_p3,15
Corn_Oil_80_ZhengChenPelegYbaseSplit,PLS,materialized,2,0.4269576110000344,sg_d1_w21_p3,15
Corn_Oil_80_ZhengChenPelegYbaseSplit,PLS,materialized,3,0.4093283929996687,sg_d1_w21_p3,15
