dataset,task,source_family,source_run,domain_group,response_or_trait,split_type,n_train,n_test,n_features,p_over_n_train,has_pls,has_ridge,has_aom_pls,has_aom_ridge,has_pls_da,has_aom_pls_da,has_aom_ridge_cls,has_tabpfn_raw,has_tabpfn_hpo,tabpfn_allowed,aomridge_global_allowed,status_in_primary_analysis,exclusion_reason
ALPINE_P_291_KS,regression,ALPINE,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,ALPINE_P_291,KS,247.0,44.0,2151.0,8.708502024291498,True,True,True,True,False,False,False,True,True,False,True,include,
Rice_Amylose_313_YbasedSplit,regression,AMYLOSE,bench/AOM_v0/benchmarks/cohort_regression.csv,crop-grain,Rice_Amylose_313,YbasedSplit,203.0,110.0,1154.0,5.684729064039409,True,True,True,True,False,False,False,True,True,False,True,include,
Beef_Marbling_RandomSplit,regression,BEEFMARBLING,bench/AOM_v0/benchmarks/cohort_regression.csv,meat-quality,Beef_Marbling,RandomSplit,554.0,278.0,331.0,0.5974729241877257,True,True,True,True,False,False,False,True,True,True,True,include,
Beer_OriginalExtract_60_KS,regression,BEER,bench/AOM_v0/benchmarks/cohort_regression.csv,beverage,Beer_OriginalExtract_60,KS,40.0,20.0,576.0,14.4,True,True,True,True,False,False,False,True,True,False,True,include,
Beer_OriginalExtract_60_YbaseSplit,regression,BEER,bench/AOM_v0/benchmarks/cohort_regression.csv,beverage,Beer_OriginalExtract_60,YbaseSplit,40.0,20.0,576.0,14.4,True,True,True,True,False,False,False,True,True,False,True,include,
brix_groupSampleID_stratDateVar_balRows,regression,BERRY,bench/AOM_v0/benchmarks/cohort_regression.csv,fruit-quality,brix,groupSampleID_stratDateVar,1434.0,699.0,2101.0,1.4651324965132497,True,True,True,True,False,False,False,True,True,False,True,include,
ph_groupSampleID_stratDateVar_balRows,regression,BERRY,bench/AOM_v0/benchmarks/cohort_regression.csv,fruit-quality,ph,groupSampleID_stratDateVar,912.0,489.0,2101.0,2.303728070175439,True,True,True,True,False,False,False,True,True,False,True,include,
ta_groupSampleID_stratDateVar_balRows,regression,BERRY,bench/AOM_v0/benchmarks/cohort_regression.csv,fruit-quality,ta,groupSampleID_stratDateVar,912.0,489.0,2101.0,2.303728070175439,True,True,True,True,False,False,False,True,True,False,True,include,
Biscuit_Fat_40_RandomSplit,regression,BISCUIT,bench/AOM_v0/benchmarks/cohort_regression.csv,food-product,Biscuit_Fat_40,RandomSplit,40.0,32.0,700.0,17.5,True,True,True,True,False,False,False,True,True,False,True,include,
Biscuit_Sucrose_40_RandomSplit,regression,BISCUIT,bench/AOM_v0/benchmarks/cohort_regression.csv,food-product,Biscuit_Sucrose_40,RandomSplit,40.0,32.0,700.0,17.5,True,True,True,True,False,False,False,True,True,False,True,include,
C_woOutlier,regression,COLZA,bench/AOM_v0/benchmarks/cohort_regression.csv,crop-seed,C_woOutlier,woOutlier,1210.0,1209.0,1154.0,0.9537190082644628,True,True,True,True,False,False,False,True,True,False,True,include,
N_wOutlier,regression,COLZA,bench/AOM_v0/benchmarks/cohort_regression.csv,crop-seed,N_wOutlier,wOutlier,1220.0,1207.0,1154.0,0.9459016393442623,True,True,True,True,False,False,False,True,True,False,True,include,
N_woOutlier,regression,COLZA,bench/AOM_v0/benchmarks/cohort_regression.csv,crop-seed,N_woOutlier,woOutlier,1205.0,1207.0,1154.0,0.9576763485477179,True,True,True,True,False,False,False,True,True,False,True,include,
Corn_Oil_80_ZhengChenPelegYbaseSplit,regression,CORN,bench/AOM_v0/benchmarks/cohort_regression.csv,crop-grain,Corn_Oil_80,YbaseSplit,64.0,16.0,700.0,10.9375,True,True,True,True,False,False,False,True,True,False,True,include,
Corn_Starch_80_ZhengChenPelegYbaseSplit,regression,CORN,bench/AOM_v0/benchmarks/cohort_regression.csv,crop-grain,Corn_Starch_80,YbaseSplit,64.0,16.0,700.0,10.9375,True,True,True,True,False,False,False,True,True,False,True,include,
DIESEL_bp50_246_b-a,regression,DIESEL,bench/AOM_v0/benchmarks/cohort_regression.csv,petroleum,DIESEL_bp50_246_b-a,unspecified,113.0,113.0,401.0,3.5486725663716814,True,True,True,True,False,False,False,True,True,True,True,include,
DIESEL_bp50_246_hla-b,regression,DIESEL,bench/AOM_v0/benchmarks/cohort_regression.csv,petroleum,DIESEL_bp50_246_hla-b,unspecified,133.0,113.0,401.0,3.0150375939849625,True,True,True,True,False,False,False,True,True,True,True,include,
DIESEL_bp50_246_hlb-a,regression,DIESEL,bench/AOM_v0/benchmarks/cohort_regression.csv,petroleum,DIESEL_bp50_246_hlb-a,unspecified,133.0,113.0,401.0,3.0150375939849625,True,True,True,True,False,False,False,True,True,True,True,include,
Rd25_CBtestSite,regression,DarkResp,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,Rd25_CBtestSite,external_site_CB,324.0,146.0,2151.0,6.638888888888889,True,True,True,True,False,False,False,True,True,False,True,include,
Rd25_GTtestSite,regression,DarkResp,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,Rd25_GTtestSite,external_site_GT,297.0,173.0,2151.0,7.242424242424242,True,True,True,True,False,False,False,True,True,False,True,include,
Rd25_XSBNtestSite,regression,DarkResp,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,Rd25_XSBNtestSite,external_site_XSBN,319.0,151.0,2151.0,6.74294670846395,True,True,True,True,False,False,False,True,True,False,True,include,
Rd25_spxy70,regression,DarkResp,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,Rd25,spxy70,329.0,141.0,2151.0,6.537993920972644,True,True,True,True,False,False,False,True,True,False,True,include,
Ccar_spxyG_block2deg,regression,ECOSIS_LeafTraits,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,Ccar,spxyG_block2deg,1016.0,3229.0,196.0,0.19291338582677164,True,True,True,True,False,False,False,True,True,True,True,include,
Chla+b_spxyG_block2deg,regression,ECOSIS_LeafTraits,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,Chla+b,spxyG_block2deg,2925.0,3925.0,196.0,0.06700854700854701,True,True,True,True,False,False,False,True,True,True,True,include,
Chla+b_spxyG_species,regression,ECOSIS_LeafTraits,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,Chla+b,spxyG,3734.0,3116.0,196.0,0.05249062667380825,True,True,True,True,False,False,False,True,True,True,True,include,
LMA_spxyG_block2deg,regression,ECOSIS_LeafTraits,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,LMA,spxyG_block2deg,39225.0,6192.0,196.0,0.004996813256851498,True,True,True,False,False,False,False,True,False,False,True,include,
FinalScore_grp70_30_scoreQ,regression,FUSARIUM,bench/AOM_v0/benchmarks/cohort_regression.csv,plant-disease,FinalScore,grp70_30_scoreQ,646.0,289.0,2177.0,3.369969040247678,True,False,True,True,False,False,False,True,False,False,True,include,
Fv_Fm_grp70_30,regression,FUSARIUM,bench/AOM_v0/benchmarks/cohort_regression.csv,plant-disease,Fv_Fm,grp70_30,351.0,167.0,2177.0,6.202279202279202,True,True,True,True,False,False,False,True,True,False,True,include,
Tleaf_grp70_30,regression,FUSARIUM,bench/AOM_v0/benchmarks/cohort_regression.csv,plant-disease,Tleaf,grp70_30,458.0,207.0,2177.0,4.753275109170306,True,False,True,True,False,False,False,True,False,False,True,include,
grapevine_chloride_556_KS,regression,GRAPEVINES,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,grapevine_chloride_556,KS,388.0,167.0,1023.0,2.63659793814433,True,True,True,True,False,False,False,True,True,False,True,include,
An_spxyG70_30_byCultivar_ASD,regression,GRAPEVINE_LeafTraits,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,An,spxyG_byCultivar,78.0,34.0,2101.0,26.935897435897434,True,True,True,True,False,False,False,True,True,False,True,include,
An_spxyG70_30_byCultivar_MicroNIR,regression,GRAPEVINE_LeafTraits,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,An,spxyG_byCultivar,81.0,35.0,125.0,1.5432098765432098,True,True,True,True,False,False,False,True,True,True,True,include,
An_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,regression,GRAPEVINE_LeafTraits,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,An,spxyG_byCultivar,80.0,35.0,276.0,3.45,True,True,True,True,False,False,False,True,True,True,True,include,
An_spxyG70_30_byCultivar_NeoSpectra,regression,GRAPEVINE_LeafTraits,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,An,spxyG_byCultivar,82.0,37.0,257.0,3.1341463414634148,True,True,True,True,False,False,False,True,True,True,True,include,
LMA_spxyG70_30_byCultivar_ASD,regression,GRAPEVINE_LeafTraits,bench/AOM_v0/benchmarks/cohort_regression.csv,leaf-physiology,LMA,spxyG_byCultivar,1092.0,472.0,2101.0,1.923992673992674,True,True,True,True,False,False,False,True,True,False,True,include,
