dataset,variant,seed,operator_bank,rmsep,n_components_selected,parsed,skip_reason,selected_op_1,selected_op_2,unique_ops_count,most_frequent_op,selected_op_3,selected_op_4,selected_op_5,selected_op_6,selected_op_7,selected_op_8,selected_op_9,selected_op_10,selected_op_11,selected_op_12,selected_op_13,selected_op_14,selected_op_15
Firmness_spxy70,PLS-standard-numpy,0,identity,0.2967790298425745,2.0,True,,identity,identity,1.0,identity,,,,,,,,,,,,,
Firmness_spxy70,AOM-compact-simpls-covariance-numpy,0,compact,0.4320036360381878,15.0,True,,detrend_d2,detrend_d2,1.0,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2,detrend_d2
Firmness_spxy70,AOM-default-nipals-adjoint-numpy,0,default,0.3770677218964058,7.0,True,,sg_d2_w21_p2,sg_d2_w21_p2,1.0,sg_d2_w21_p2,sg_d2_w21_p2,sg_d2_w21_p2,sg_d2_w21_p2,sg_d2_w21_p2,sg_d2_w21_p2,,,,,,,,
Firmness_spxy70,POP-simpls-covariance-numpy,0,compact,0.3075696021134862,15.0,True,,component_6,component_6,5.0,component_6,component_8,component_6,component_2,component_5,component_6,component_6,component_5,component_8,component_7,component_7,component_8,component_8,component_7
Firmness_spxy70,POP-nipals-adjoint-numpy,0,compact,0.3675716183573173,6.0,True,,component_6,component_6,3.0,component_6,component_8,component_6,component_8,component_9,,,,,,,,,
Firmness_spxy70,nirs4all-AOM-PLS-default,0,production_default,0.3770677218964304,7.0,False,missing_or_empty_sequence,,,,,,,,,,,,,,,,,
Firmness_spxy70,AOM-compact-cv3-numpy,0,compact,0.3253825229113011,1.0,True,,detrend_d1,,1.0,detrend_d1,,,,,,,,,,,,,
Firmness_spxy70,AOM-compact-cv5-numpy,0,compact,0.2949028166087614,2.0,True,,sg_d1_w21_p3,sg_d1_w21_p3,1.0,sg_d1_w21_p3,,,,,,,,,,,,,
Firmness_spxy70,ASLS-AOM-compact-cv5-numpy,0,compact,0.320927853314207,1.0,True,,fd_d1,,1.0,fd_d1,,,,,,,,,,,,,
Brix_spxy70,PLS-standard-numpy,0,identity,1.7103507371910391,12.0,True,,identity,identity,1.0,identity,identity,identity,identity,identity,identity,identity,identity,identity,identity,identity,,,
Brix_spxy70,AOM-compact-simpls-covariance-numpy,0,compact,2.0181761646620657,15.0,True,,sg_d2_w11_p2,sg_d2_w11_p2,1.0,sg_d2_w11_p2,sg_d2_w11_p2,sg_d2_w11_p2,sg_d2_w11_p2,sg_d2_w11_p2,sg_d2_w11_p2,sg_d2_w11_p2,sg_d2_w11_p2,sg_d2_w11_p2,sg_d2_w11_p2,sg_d2_w11_p2,sg_d2_w11_p2,sg_d2_w11_p2,sg_d2_w11_p2
Brix_spxy70,AOM-default-nipals-adjoint-numpy,0,default,2.018176164662046,15.0,True,,compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0),1.0,compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0),compose(sg_d2_w11_p2|detrend_d0)
Brix_spxy70,POP-simpls-covariance-numpy,0,compact,0.999732420087685,2.0,True,,component_8,component_8,1.0,component_8,,,,,,,,,,,,,
Brix_spxy70,POP-nipals-adjoint-numpy,0,compact,0.9997324200877462,2.0,True,,component_8,component_8,1.0,component_8,,,,,,,,,,,,,
Brix_spxy70,nirs4all-AOM-PLS-default,0,production_default,2.0181761646620417,15.0,False,missing_or_empty_sequence,,,,,,,,,,,,,,,,,
Brix_spxy70,AOM-compact-cv3-numpy,0,compact,1.4204672370620972,8.0,True,,fd_d1,fd_d1,1.0,fd_d1,fd_d1,fd_d1,fd_d1,fd_d1,fd_d1,fd_d1,,,,,,,
Brix_spxy70,AOM-compact-cv5-numpy,0,compact,1.7489561606731527,13.0,True,,detrend_d1,detrend_d1,1.0,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,detrend_d1,,
